,flight,thank,label
983,1.0,0.0,negative
984,0.0,0.0,negative
985,0.0,0.0,negative
986,1.0,0.0,negative
987,1.0,0.0,negative
988,0.0,0.0,average
989,0.0,1.0,average
990,1.0,0.0,worse
991,0.0,0.0,negative
992,0.0,0.0,negative
993,0.0,0.0,negative
994,0.0,1.0,good
995,0.0,0.0,negative
996,0.0,0.0,worse
997,0.0,0.0,negative
998,0.0,0.0,good
999,0.0,0.0,good
1000,1.0,0.0,worse
1001,0.0,0.0,negative
1002,0.0,0.0,negative
1003,0.0,0.0,negative
1004,0.0,0.0,negative
1005,0.0,1.0,average
1006,0.0,0.0,negative
1007,1.0,0.0,worse
1008,1.0,0.0,worse
1009,0.0,0.0,negative
1010,0.0,0.0,worse
1011,0.0,1.0,good
1012,1.0,0.0,negative
1013,0.0,0.0,average
1014,0.0,1.0,good
1015,0.0,0.0,worse
1016,0.0,1.0,negative
1017,0.0,0.0,negative
1018,0.0,0.0,negative
1019,0.0,0.0,worse
1020,0.0,1.0,good
1021,0.0,1.0,good
1022,0.0,1.0,good
1023,1.0,0.0,worse
1024,0.0,0.0,negative
1025,1.0,0.0,negative
1026,0.0,0.0,negative
1027,0.0,0.0,negative
1028,1.0,0.0,negative
1029,0.0,0.0,negative
1030,0.0,0.0,average
1031,0.0,0.0,negative
1032,0.0,0.0,negative
1033,0.0,1.0,good
1034,1.0,0.0,negative
1035,0.0,1.0,average
1036,1.0,0.0,good
1037,0.0,1.0,good
1038,0.0,0.0,worse
1039,0.0,0.0,worse
1040,0.0,0.0,worse
1041,0.0,0.0,negative
1042,1.0,0.0,worse
1043,1.0,0.0,worse
1044,0.0,0.0,negative
1045,0.0,0.0,negative
1046,0.0,0.0,negative
1047,0.5880333434473399,0.8088366874679601,good
1048,0.0,1.0,negative
1049,0.0,0.0,worse
1050,1.0,0.0,worse
1051,0.0,0.0,good
1052,0.0,0.0,worse
1053,0.0,0.0,worse
1054,0.0,1.0,average
1055,0.0,0.0,negative
1056,0.0,1.0,worse
1057,1.0,0.0,worse
1058,0.0,0.0,negative
1059,0.0,0.0,negative
1060,1.0,0.0,average
1061,0.0,0.0,average
1062,0.0,1.0,average
1063,1.0,0.0,negative
1064,0.0,0.0,worse
1065,1.0,0.0,negative
1066,0.0,1.0,good
1067,1.0,0.0,negative
1068,1.0,0.0,negative
1069,0.0,0.0,negative
1070,0.0,0.0,negative
1071,0.0,0.0,good
1072,0.0,1.0,negative
1073,0.0,0.0,worse
1074,0.0,0.0,worse
1075,1.0,0.0,worse
1076,0.0,0.0,negative
1077,0.0,0.0,worse
1078,1.0,0.0,negative
1079,0.0,0.0,good
